                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93265,                 0.6464,                   1.22,                 0.1759,                0.66667,                0.13747,                0.10397,                  1.094,                 6.0985,                 1.4407,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0259,                0.67417,                 1.1875,                0.21669,                0.66667,                0.18544,                0.14074,                 1.1582,                 4.0519,                 1.4531,              0.0010894,              0.0010894,              0.0010894
                     37,                0.96799,                0.66641,                  1.207,                0.49311,                0.97473,                0.58148,                0.44503,                 1.0451,                 1.3658,                 1.3444,              0.0010729,              0.0010729,              0.0010729
                     38,                0.93856,                0.64221,                 1.1605,                0.98884,                      1,                  0.995,                0.81071,                0.87978,                0.46705,                 1.1806,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0187,                0.72547,                 1.2608,                 0.9576,                      1,                  0.995,                0.77816,                0.85309,                0.53324,                 1.1265,              0.0010399,              0.0010399,              0.0010399
                     40,                0.85251,                0.60745,                 1.1239,                0.98965,                      1,                  0.995,                0.69652,                 1.0174,                0.68568,                 1.2343,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0031,                0.66307,                 1.2122,                      1,                 0.9963,                  0.995,                 0.7199,                 1.0952,                0.69115,                 1.3194,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9145,                0.61324,                 1.1831,                0.98372,                0.66667,                0.81489,                0.66228,                 0.9779,                 1.0182,                 1.2303,             0.00099036,             0.00099036,             0.00099036
                     43,                0.99515,                0.60937,                 1.1878,                0.98368,                      1,                  0.995,                0.82154,                0.80016,                0.56244,                 1.1104,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0038,                0.64213,                  1.184,                0.98666,                      1,                  0.995,                0.79156,                0.82238,                0.59461,                 1.1072,             0.00095736,             0.00095736,             0.00095736
                     45,                0.95247,                0.60073,                 1.1976,                0.98217,                      1,                  0.995,                0.85195,                0.71535,                0.48394,                  1.035,             0.00094085,             0.00094085,             0.00094085
                     46,                0.94286,                0.69606,                 1.2224,                0.98532,                      1,                  0.995,                0.87988,                0.75588,                0.47516,                 1.1079,             0.00092435,             0.00092435,             0.00092435
                     47,                0.88092,                0.55676,                 1.2014,                0.98949,                      1,                  0.995,                0.82667,                0.68813,                0.42893,                   1.08,             0.00090785,             0.00090785,             0.00090785
                     48,                0.92383,                0.57467,                 1.1343,                0.99033,                      1,                  0.995,                0.82769,                0.68891,                0.45347,                  1.035,             0.00089134,             0.00089134,             0.00089134
